tax_id,genome_structure
2169827,ssDNA
944580,ssRNA(+)
1590173,Unknown
431317,ssRNA(+)
327387,ssRNA(+)
101281,ssRNA(+)
244050,ssRNA(+)
12229,ssRNA(+)
35284,ssRNA(+)
167132,ssRNA(+)
11988,ssRNA(+)
859650,ssDNA
1766828,ssDNA
12230,ssRNA(+)
218923,ssRNA(+)
29272,ssRNA(+)
12154,ssRNA(+)
131083,ssRNA(+)
2292642,ssRNA(+)
329048,ssRNA(+)
946046,ssRNA(+)
520848,ssDNA
3052813,dsDNA
430059,ssRNA(+)
326202,ssRNA(+)
2016426,ssRNA(+)
2016427,ssRNA(+)
1881630,ssDNA
12473,ssRNA(+)
134374,ssRNA(+)
515446,ssRNA(+)
1925152,ssDNA
1925153,ssDNA
666635,ssDNA
2169908,ssDNA
2050589,ssDNA
1001341,ssDNA
367061,ssDNA
310749,dsRNA
1312724,ssDNA
1170656,ssDNA
1169032,ssRNA(+)
1848040,dsDNA
146500,ssRNA(+)
1978413,ssRNA(+)
1046574,ssDNA
1174526,ssDNA
10834,ssDNA
2019445,ssRNA(+)
31741,ssRNA(+)
572239,ssRNA(+)
2152660,ssRNA(-)
12188,ssRNA(+)
1913024,ssRNA(+)
2169739,ssDNA
2169740,ssDNA
2169741,ssDNA
2169742,ssDNA
2169743,ssDNA
2169744,ssDNA
2560838,ssDNA
2169828,ssDNA
2018313,ssRNA(+)
1862127,ssRNA(+)
187977,ssRNA(+)
400396,ssRNA(+)
2025352,ssDNA
2169693,dsRNA
1904884,ssDNA
1973265,dsDNA
201862,ssRNA(+)
1561150,dsDNA
1868472,ssRNA(+)
418827,ssRNA(+)
2175329,ssRNA(+)
596957,ssRNA(+)
1592930,ssRNA(+)
87097,ssRNA(+)
