,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,ratio_rep3,coverage_rep3,iscontrol,log_cov_rep1,log_cov_rep2,log_cov_rep3
53,MWMV_gp1-265,0.8511296861992105,9.86180677532173e-05,1.2281221884098559,9.922757681382991e-05,1.2168358606386247,0.00012723412635837658,no,-4.006043510954509,-4.003367614199622,-3.895396387890865
54,BSV_gp3-121,1.343240640802338,0.0010857878934072882,1.2180701576484425,0.0008292326865334187,1.095109328719228,0.000998020877676344,no,-2.964255005059895,-3.0813235873050058,-3.0008603735775656
55,FK852_gp02-020,1.1399333629089667,0.0010463538549476267,1.142438041150591,0.000933440085975452,1.2927344766851465,0.0010735943392544576,no,-2.980321421335852,-3.0299135525572227,-2.96915978707545
56,FK852_gp02-021,1.1982327965841513,0.0009066861401356478,1.1326145592248238,0.0007961656103514335,1.0348934203438684,0.000910716610121926,no,-3.042543022969323,-3.0989965853014803,-3.040616742463893
57,C419_gp2-085,1.1098124874496178,0.0018515533977765534,1.1194839557842484,0.0016197597675597965,1.1292165035717505,0.001857979192708492,no,-2.7324637586211273,-2.790549392469513,-2.7309591539282136
58,SPVC_gp1-010,0.9174450062940799,0.0006177230021252177,0.9426752930737273,0.0005729167366542533,0.9216755698854585,0.0006327867454525644,no,-3.2092062265560104,-3.2419084904918485,-3.1987426262820273
59,D1Q93_gp5-009,0.9130309680803294,0.0023502489092333944,1.0344940276353731,0.0022044278316858948,0.9155104462929813,0.0025363356075305456,no,-2.628886140203985,-2.656704114489561,-2.595793281210178
60,BBV81_gp3-161,0.7404295583099787,0.0006301532968570675,0.853842038599991,0.0005931522063815557,0.9226953452469673,0.0006569251346730365,no,-3.2005537872440057,-3.226833849789597,-3.182484121233208
61,AXI62_gp1-015,1.2038826278511179,0.002352589893121886,1.118593426384013,0.002170016993842331,1.2867398236199643,0.0022155431825631494,no,-2.6284537730692836,-2.663536865090156,-2.6545197808315906
62,TriMVgp1-226,0.8503223984641902,0.00033782705523218473,0.9862065604490506,0.0003014505327474849,1.0833922296227565,0.00038847015175376675,no,-3.471305572445505,-3.5207839442780164,-3.4106423447565715
63,TriMVgp1-227,1.5565615017495897,0.00016911135724047193,1.396063106479993,0.00010107195556501634,1.6044803400663106,0.00014189763382875685,no,-3.7718272249200737,-3.9953693313816414,-3.8480248464289386
64,TriMVgp1-229,0.9652078286277475,0.0004323566440815575,1.1988755022946072,0.00036070778719631745,1.0642073325905728,0.00042885119540296784,no,-3.364157862776512,-3.4428444817462776,-3.367693375008764
65,D607_gp1-188,0.9300723679609995,0.00039687919810948736,1.1075866596926403,0.0002993690195854316,0.6694362295846163,0.000400200957730071,no,-3.4013416634587097,-3.5237931449390274,-3.3977218763784998
66,EXL25_gp1-029,1.0114877176766164,0.0019679101885158056,1.1754951737630739,0.0019524329977380803,1.2542919922049365,0.002247802898997986,no,-2.7059947257837575,-2.709423861016304,-2.6482417730097385
67,EXL25_gp1-030,0.9339356545030358,0.001176294946560943,1.072270693907019,0.0012031409559346562,0.8851509261747932,0.0011974445792735156,no,-2.929483768733265,-2.9196834892033636,-2.9217445776818094
68,EXL25_gp1-405,0.7475980324637688,0.0011574022174326937,0.8235677390300196,0.0011728667961473246,0.6533567251725769,0.0013276114071259684,no,-2.9365156899197156,-2.930751308415664,-2.876929024694754
69,EXL25_gp1-182,1.4129921376122143,0.00018055250385042392,0.5624875085085023,9.440584379287111e-05,1.1775192007730733,0.00016964550181116877,no,-3.743396484523875,-4.025001121714157,-3.770457651282565
70,SYSV_gp1-095,1.1439307557276102,7.520822886830113e-05,0.9590769209464473,5.762366184063888e-05,1.4658546122365046,7.602464642335621e-05,no,-4.123734638709179,-4.23939914684263,-4.119045591002869
71,SYSV_gp1-093,0.9075734377449146,0.0006166019675870668,1.0455595671790816,0.0005223544106038709,0.8911011751796266,0.00069775736316748,no,-3.2099950937664317,-3.282034733890626,-3.1562955718710284
72,BGV87_gp1-063,0.8445696615640462,0.0003124389201034728,0.9335229938838822,0.0003032422149629231,1.114463622930122,0.00035124740202126297,no,-3.5052348719351,-3.518210339816849,-3.454386879306087
73,BGV87_gp1-045,0.4351727778945427,2.2321775950828522e-05,1.1880767284899612,2.816629835740419e-05,1.1057092980232255,5.5946920810066294e-05,no,-4.651271255300683,-4.55027022467149,-4.252223811047991
74,KM660_gp1-221,0.6802654240946181,0.00018671819381025395,1.1155974211815332,0.0001829887203855679,0.8992403580132012,0.00022423886808550764,no,-3.7288133623592983,-3.737575679806633,-3.649289107476894
75,RgMVgp1-214,0.8785895770994735,0.0009323380480968658,1.0240217487927312,0.000987374990313718,0.9633145828931815,0.0012800114059528878,no,-3.0304265921479834,-3.0055178774267004,-2.892786160414374
76,RgMVgp1-216,0.8242796470617705,8.08134015590557e-05,0.9293149987869905,9.034821054026096e-05,0.9586864133410163,0.0001003886280664496,no,-4.09251661273375,-4.044080444765323,-3.9983154808932757
77,RgMVgp1-215,1.0196795321023384,0.0009072796290087866,1.2079187850624418,0.0008077324999481598,1.2392585560437928,0.0010927696951772627,no,-3.042258840151481,-3.092732442481817,-2.961471357403193
78,CABYVgp2-054,1.0671297708323355,0.0014721821214246581,1.1640322373859888,0.00125409850600315,1.1452153219658914,0.0014803374772405444,no,-2.832038460761262,-2.901668349523318,-2.8296392658241785
79,CABYVgp2-055,0.9755380727793288,0.0011973967731614308,0.985823848741786,0.0010853115020017174,0.9666669214093808,0.0013497194645428494,no,-2.921761916559528,-2.9644455943644874,-2.869756489032161
80,KM718_gp3-038,0.945749075138523,0.0006066775147640248,1.241881018535499,0.0005231448586400937,1.064819829453001,0.0005371355582611607,no,-3.2170421009762906,-3.2813780384803657,-3.2699160964693275
81,X950_gp2-004,1.329830311919383,0.00021507377330465946,1.1398417335749247,0.00014315013935994102,1.26633598658741,0.00019423507587688338,no,-3.6674125454633395,-3.8442082248465463,-3.7116723404205527
82,X950_gp2-003,1.069635750351757,0.00013528249147156488,0.5689281540759994,8.89517523429341e-05,0.6852667501329124,0.00011144265677489012,no,-3.8687584070189147,-4.05084549192665,-3.9529485429505606
83,RCVMV_gp1-066,1.1553807981906856,0.001667439960687297,1.0376849800193504,0.0013071639175015709,1.059619611853119,0.001461838898585603,no,-2.7779497947197394,-2.8836699487601294,-2.835100486003614
84,RCVMV_gp1-067,0.9718050420218229,0.0009336239406553331,0.9700265516262285,0.0008582421294627938,1.0972339319416795,0.001015391494218179,no,-3.0298280203290147,-3.066390170595543,-2.9933664789357284
85,UrSV_gp3-022,0.8276490538313457,0.0017550125410793216,0.9535843860872347,0.0016563575116369102,0.8440399673890903,0.0017397687632549647,no,-2.755719775778165,-2.7808459184125365,-2.759508470979433
86,EXL28_gp1-291,0.560849494575475,8.879252974236517e-05,0.994773461245378,7.675250431722956e-05,0.6559991730809435,0.00012024076125711828,no,-4.051623570574317,-4.1149074452526,-3.9199482828476353
87,EXL68_gp1-004,1.0923419849088616,0.0006418252446954624,1.2183278292039983,0.000561666026272016,0.8674367309844178,0.0006652720543100221,no,-3.1925832049464677,-3.250521844681483,-3.1770007193224092
88,SrMVgp1-021,1.034418928763014,3.326834849983158e-05,1.0012639202939704,1.9813897441317073e-05,1.1508402897792753,3.02293846312455e-05,no,-4.477968757748917,-4.703030089288625,-4.5195706935094
89,SrMVgp1-022,0.4522097368033418,4.5698643231681435e-05,1.2163641025068619,5.180069464046458e-05,1.3017214008546154,8.820663724490291e-05,no,-4.34009669371004,-4.285664416384151,-4.054498734478341
90,ONMVp1-185,1.2258455526457943,0.0001525596120007143,1.1106008120342494,0.00010592003685384924,1.0047731795314787,0.00013670900810846845,no,-3.8165604244859304,-3.975021876795797,-3.864202867707921
91,X991_gp5-022,0.37805032178265907,6.84160784312691e-05,0.6764078952796567,4.260514915240652e-05,1.6672932309666004,6.023317683986976e-05,no,-4.164841822937715,-4.370537909973867,-4.220164230509632
92,X991_gp5-021,1.1870269470500214,0.00028991931452826473,0.7765732453955649,0.0002092315951881634,0.7045352834840296,0.00021769668782949182,no,-3.537722850827729,-3.679372733859257,-3.662148178530415
93,X991_gp5-009,1.024222729504391,0.001198188091658949,0.9292900955835127,0.0011405901680015622,0.8436960586738129,0.001350396241810713,no,-2.9214750010138117,-2.942870376395549,-2.8695387793700347
94,SD14_gp01-201,0.8149954099690928,0.0004814843341358182,0.8357063684336288,0.00040373450863470943,0.8737616430060806,0.0004599829497246983,no,-3.317417838776311,-3.393904128298079,-3.3372582660960672
95,RuFDV_gp6-029,1.2733073762673937,0.0003131313237888013,1.2655389472310923,0.0003013451396759885,1.5838117691403102,0.00043403982112325625,no,-3.504273485981976,-3.520935808771881,-3.3624704241724133
96,PTVgp1-116,0.8470629889720958,0.000886837234489564,1.1323378389535215,0.000859137970570513,1.0067901895831672,0.0010347924425636052,no,-3.0521560810132558,-3.0659370864064055,-2.9851467517422248
97,A6774_gp2-004,0.8966370569326516,0.001529124081641912,0.9485224570932173,0.0016079557435522034,0.7792312055543288,0.0016890104681651869,no,-2.8155572720854276,-2.7937259086942645,-2.7723676587461683
98,C1177_gp5-021,0.6546261528223443,0.00012657798799886366,1.0899530892632332,0.00012170264931043026,0.9541138182942461,0.0001556587716086522,no,-3.8976418118684224,-3.914699967633721,-3.807826401136952
99,KM659_gp2-038,1.5834771773280074,9.525496413876456e-05,0.8844174285811337,5.319715283779145e-05,1.5164013230032805,7.78293858043261e-05,no,-4.02111238214163,-4.274111610936628,-4.108856396800933
100,PI36_gp2-091,0.9315732194814793,0.0004913428437507336,1.1723826584663986,0.0005443025177429894,1.4237230341803475,0.0006415848499347925,no,-3.3086153649242607,-3.2641596567919504,-3.1927458998164786
