,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,iscontrol,log_cov_rep1,log_cov_rep2
1789,eLW044-fLW132-1748,0.9637317254848543,0.0009812460958906594,0.8423930362331463,0.0009651980598183762,no,-3.0082220581819943,-3.0153835597543623
1790,eLW044-fLW132-1749,0.9788291256184382,0.00026508281850415105,0.8962140771891409,0.00026553451122293686,no,-3.5766184204021543,-3.575879026146904
1791,eLW044-fLW132-1750,0.7359035151686705,0.0003393499744278434,0.6431481488490055,0.0003010536504272428,no,-3.469352179199336,-3.5213561023854285
1792,eLW044-fLW132-1751,0.9047553159317715,0.0016706995771901567,0.8689559560604899,0.0017479076715271429,no,-2.777101637299003,-2.7574815115215774
1793,eLW044-fLW132-1752,0.9080506654084762,0.00034411303820193316,0.89056946800538,0.00037491179740570225,no,-3.4632988719536715,-3.426070893353897
1794,eLW044-fLW132-1753,1.0288982338752395,0.00013864179477812128,0.7943151573170348,0.00011559593673746248,no,-3.8581058281274556,-3.9370574313437983
1795,eLW044-fLW132-1754,1.125055899742313,0.00030793207299490495,0.9105613863034034,0.00029110007461446936,no,-3.511545074333961,-3.5359576832432635
1796,eLW044-fLW132-1755,0.8660257145123504,0.00017267938128680908,0.9682935151120389,0.00017752099751636808,no,-3.762759516097575,-3.7507502704051765
1797,eLW044-fLW132-1756,0.9587443200226586,0.0007219339123435787,0.8966284387719168,0.0006934635726670327,no,-3.141502557026164,-3.158976347287459
1798,eLW044-fLW132-1757,1.2266377316914725,7.789441218242226e-05,1.2629758952928785,8.82936331009245e-05,no,-4.1084936956699325,-4.054070612490717
1799,eLW044-fLW132-1758,1.3703494351567553,0.0014753590040243127,1.3203016443305862,0.001458899155057196,no,-2.8311022885022727,-2.8359747272400946
1800,eLW044-fLW132-1759,1.0232811250771643,0.0011552261599773162,1.0192400062256866,0.0011214673326162899,no,-2.937332985109306,-2.950213372523379
1801,eLW044-fLW132-1760,0.9181073891365595,0.0005532848157886917,0.924602877497446,0.0005494448547156092,no,-3.2570512482923903,-3.2600758892177693
1802,eLW044-fLW132-1761,1.104132175161109,0.00018030028332535275,0.9714995986744085,0.00017539209011926458,no,-3.7440035908231297,-3.755989996460377
1803,eLW044-fLW132-1762,1.1835724945700898,0.0006671953178936545,1.2841048581211534,0.0007186743181590479,no,-3.1757470100622904,-3.143467874387851
1804,eLW044-fLW132-1763,1.3334258842222297,0.00034392984344139125,1.2159821662715165,0.00029548861179270905,no,-3.463530137991355,-3.5294592522815105
1805,eLW044-fLW132-1764,0.8869685377400991,0.00014212249522841766,0.8179449996068436,0.00011727665310359683,no,-3.847337176257154,-3.9307884366267203
1806,eLW044-fLW132-1765,1.1009037498181773,0.0003663712016077758,0.8877583301184925,0.0003513070697746598,no,-3.436078671124192,-3.4543131102898745
1807,eLW044-fLW132-1766,0.7373158477577777,0.00041271947602488035,0.7685363923042495,0.00040837672771806615,no,-3.384345036500438,-3.3889390151443965
1808,eLW044-fLW132-1767,0.8692265603188205,0.0002497677365228469,1.0165614481082401,0.0002510243265953103,no,-3.6024636618587547,-3.6002841892991557
1809,eLW044-fLW132-1768,1.0355045578088777,0.0017075766824872442,1.2611779331657018,0.0018967257684351943,no,-2.767619784259437,-2.7219954555449575
